Key,Platform UI,Platform API,Legacy,Found
advertiser::pay_by_card,FALSE,FALSE,FALSE,No
advertiser::pay_now,FALSE,FALSE,FALSE,No
advertiser::program_id,FALSE,FALSE,FALSE,No
advertiser::schedule_an_appointment,FALSE,FALSE,FALSE,No
advertiser.schedule_call,FALSE,FALSE,FALSE,No
advertiser::security_code,FALSE,FALSE,FALSE,No
advertiser::select_the_type_of_card,FALSE,FALSE,FALSE,No
advertiser::setup_fee,FALSE,FALSE,FALSE,No
advertiser::your_dashboard_access,FALSE,FALSE,FALSE,No
api.db,FALSE,FALSE,FALSE,No
api.file,FALSE,FALSE,FALSE,No
api.media.batch,FALSE,FALSE,FALSE,No
api.pagination,FALSE,FALSE,FALSE,No
corporate_website.cookies,FALSE,FALSE,FALSE,No
dashboard::publisher_overview,FALSE,FALSE,FALSE,No
dashboard::top_5_publishers,FALSE,FALSE,FALSE,No
datafeed::account_manager,FALSE,FALSE,FALSE,No
datafeed::batch_number,FALSE,FALSE,FALSE,No
datafeed::batch_size,FALSE,FALSE,FALSE,No
datafeed::brand,FALSE,FALSE,FALSE,No
datafeed::category_fields,FALSE,FALSE,FALSE,No
datafeed::category_id,FALSE,FALSE,FALSE,No
datafeed::category_name,FALSE,FALSE,FALSE,No
datafeed::category_pathway,FALSE,FALSE,FALSE,No
datafeed::click_to_view,FALSE,FALSE,FALSE,No
datafeed::description,FALSE,FALSE,FALSE,No
datafeed::error_count,FALSE,FALSE,FALSE,No
datafeed::error_encountered,FALSE,FALSE,FALSE,No
datafeed::error_handling,FALSE,FALSE,FALSE,No
datafeed::feed_fields,FALSE,FALSE,FALSE,No
datafeed::feed_id,FALSE,FALSE,FALSE,No
datafeed::feed_info,FALSE,FALSE,FALSE,No
datafeed::feed_management_table,FALSE,FALSE,FALSE,No
datafeed::feed_merchant_id,FALSE,FALSE,FALSE,No
datafeed::feed_name,FALSE,FALSE,FALSE,No
datafeed::feed_url,FALSE,FALSE,FALSE,No
datafeed::file_name,FALSE,FALSE,FALSE,No
datafeed::id,FALSE,FALSE,FALSE,No
datafeed::last_product_count,FALSE,FALSE,FALSE,No
datafeed::link_id,FALSE,FALSE,FALSE,No
datafeed::merchant_display,FALSE,FALSE,FALSE,No
datafeed::merchant_feed,FALSE,FALSE,FALSE,No
datafeed::merchant_management_table,FALSE,FALSE,FALSE,No
datafeed::merchant_updated,FALSE,FALSE,FALSE,No
datafeed::merchant_url,FALSE,FALSE,FALSE,No
datafeed::name,FALSE,FALSE,FALSE,No
datafeed::no_errors,FALSE,FALSE,FALSE,No
datafeed::price,FALSE,FALSE,FALSE,No
datafeed::product_count,FALSE,FALSE,FALSE,No
datafeed::product_display,FALSE,FALSE,FALSE,No
datafeed::product_management_table,FALSE,FALSE,FALSE,No
datafeed::product_updated,FALSE,FALSE,FALSE,No
datafeed::program_id,FALSE,FALSE,FALSE,No
datafeed::program_name,FALSE,FALSE,FALSE,No
datafeed::rerun_feed,FALSE,FALSE,FALSE,No
datafeed::sales_manager,FALSE,FALSE,FALSE,No
datafeed::status,FALSE,FALSE,FALSE,No
datafeed::thumbnail,FALSE,FALSE,FALSE,No
datafeed::type_of_error,FALSE,FALSE,FALSE,No
datafeed::webgains_url,FALSE,FALSE,FALSE,No
datepicker.monthNames_abbr,FALSE,FALSE,FALSE,No
dropzone::file_type,FALSE,FALSE,FALSE,No
event_quota::save_configuration,FALSE,FALSE,FALSE,No
find_publishers::campaign_id,FALSE,FALSE,FALSE,No
find_publishers::campaign_name,FALSE,FALSE,FALSE,No
find_publishers::fields,FALSE,FALSE,FALSE,No
find_publishers::member_since,FALSE,FALSE,FALSE,No
find_publishers::publisher_id,FALSE,FALSE,FALSE,No
find_publishers::publisher_status,FALSE,FALSE,FALSE,No
find_publishers::search_by,FALSE,FALSE,FALSE,No
find_publishers::search_publishers,FALSE,FALSE,FALSE,No
gdpr_documents::accepted_by,FALSE,FALSE,FALSE,No
gdpr_documents::added_document,FALSE,FALSE,FALSE,No
gdpr_documents::added_document_copy,FALSE,FALSE,FALSE,No
gdpr_documents::title_copy,FALSE,FALSE,FALSE,No
header::full_screen,FALSE,FALSE,FALSE,No
header::setting,FALSE,FALSE,FALSE,No
header::shortcut,FALSE,FALSE,FALSE,No
help.commission_management.create,FALSE,FALSE,FALSE,No
help.commission_manager.event_panel,FALSE,FALSE,FALSE,No
help.commission_manager.event_panel.tracking_type,FALSE,FALSE,FALSE,No
help.dashboard,FALSE,FALSE,FALSE,No
help.manage_groups,FALSE,FALSE,FALSE,No
help.reports,FALSE,FALSE,FALSE,No
help.tooltip.media_manager.ad,FALSE,FALSE,FALSE,No
help.tooltips.publishers,FALSE,FALSE,FALSE,No
help.tooltips.publishers.find,FALSE,FALSE,FALSE,No
help.tooltips.user_management,FALSE,FALSE,FALSE,No
integration.guide.instructions,FALSE,FALSE,FALSE,No
integration.guide.voucher_code,FALSE,FALSE,FALSE,No
integration.guide.wg_items_props_table,FALSE,FALSE,FALSE,No
integration.guide.wg_items_table,FALSE,FALSE,FALSE,No
integration.guide.wg_items,FALSE,FALSE,FALSE,No
integration::select_a_program,FALSE,FALSE,FALSE,No
integration::select_option_to_start,FALSE,FALSE,FALSE,No
integration.video_intro,FALSE,FALSE,FALSE,No
integration.wizard,FALSE,FALSE,FALSE,No
invite_publishers.category_option,FALSE,FALSE,FALSE,No
invite_publishers.category_sub,FALSE,FALSE,FALSE,No
invite_publishers::gainscore,FALSE,FALSE,FALSE,No
invite_publishers::header,FALSE,FALSE,FALSE,No
invite_publishers::page_of_total_pages,FALSE,FALSE,FALSE,No
invite_publishers::publisher_type,FALSE,FALSE,FALSE,No
login::enter_password,FALSE,FALSE,FALSE,No
login::password_expired_legacy,FALSE,FALSE,FALSE,No
login::please_enter_email,FALSE,FALSE,FALSE,No
manage_groups::are_u_sure_delete_this,FALSE,FALSE,FALSE,No
manage_groups::delete_successful,FALSE,FALSE,FALSE,No
manage_groups::media_group_empty_message,FALSE,FALSE,FALSE,No
manage_groups::no_media_group_found,FALSE,FALSE,FALSE,No
manage_groups::not_able_to_recover,FALSE,FALSE,FALSE,No
manage_groups::view_all_groups,FALSE,FALSE,FALSE,No
